"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",69.233727,280.549094,400,701.372000,692.205000,714.956000,"compute_lab_image(std::byte*, std::byte*, int, int, int)"
"GPU activities",12.449425,50.447592,1200,42.039000,16.128000,110.845000,"[CUDA memcpy DtoH]"
"GPU activities",10.020015,40.603133,801,50.690000,46.655000,76.638000,"[CUDA memcpy HtoD]"
"GPU activities",3.399246,13.774433,400,34.436000,33.056000,43.134000,"opening(std::byte*, int, int, int, int)"
"GPU activities",1.778625,7.207349,400,18.018000,7.296000,27.103000,"hysterisis_compute(std::byte*, int, int, int, int, int)"
"GPU activities",1.466319,5.941821,400,14.854000,12.159000,25.247000,"hysterisis_mark(std::byte*, int, int, int)"
"GPU activities",0.902161,3.655741,400,9.139000,7.359000,18.751000,"mask(std::byte*, std::byte*, int, int, int, float)"
"GPU activities",0.614383,2.489604,400,6.224000,5.631000,20.576000,"ConvertNV12BLtoNV12"
"GPU activities",0.075350,0.305334,13,23.487000,22.496000,24.831000,"update_background(std::byte*, std::byte*, int, int)"
"GPU activities",0.053721,0.217689,64,3.401000,0.736000,12.928000,"[CUDA memset]"
"GPU activities",0.007028,0.028478,10,2.847000,2.400000,3.584000,"MemsetD2D_BL"
"API calls",33.383722,580.053819,2,290026.909000,267277.110000,312776.709000,"cuCtxCreate"
"API calls",19.722953,342.693188,2013,170.240000,2.354000,799.106000,"cudaDeviceSynchronize"
"API calls",16.804384,291.982038,1201,243.115000,149.131000,394.660000,"cudaMemcpy2D"
"API calls",15.406061,267.685692,801,334.189000,13.342000,251640.112000,"cudaMallocPitch"
"API calls",5.284738,91.824173,2,45912.086000,45886.799000,45937.374000,"cuCtxDestroy"
"API calls",5.113685,88.852066,800,111.065000,57.958000,263.272000,"cuMemcpy2DAsync"
"API calls",1.675017,29.103999,2013,14.458000,7.371000,958.540000,"cudaLaunchKernel"
"API calls",0.530057,9.209928,800,11.512000,8.779000,46.798000,"cudaFree"
"API calls",0.432585,7.516309,410,18.332000,6.267000,91.780000,"cuLaunchKernel"
"API calls",0.410616,7.134600,61,116.960000,33.509000,184.907000,"cuMemFree"
"API calls",0.270149,4.693928,400,11.734000,8.683000,75.346000,"cuTexObjectCreate"
"API calls",0.137011,2.380622,402,5.921000,4.598000,28.645000,"cuEventRecord"
"API calls",0.117849,2.047668,397,5.157000,3.708000,28.140000,"cuEventSynchronize"
"API calls",0.099152,1.722804,64,26.918000,8.264000,94.446000,"cuMemsetD8Async"
"API calls",0.083745,1.455094,464,3.135000,1.859000,73.501000,"cuStreamSynchronize"
"API calls",0.076743,1.333434,60,22.223000,14.457000,77.426000,"cuStreamCreate"
"API calls",0.064602,1.122480,885,1.268000,0.249000,14.277000,"cuCtxPushCurrent"
"API calls",0.059842,1.039781,401,2.592000,1.779000,15.996000,"cuStreamQuery"
"API calls",0.059772,1.038558,59,17.602000,12.868000,40.997000,"cuStreamDestroy"
"API calls",0.054954,0.954845,1,954.845000,954.845000,954.845000,"cuModuleLoadData"
"API calls",0.035755,0.621255,1,621.255000,621.255000,621.255000,"cuModuleUnload"
"API calls",0.029589,0.514121,229,2.245000,0.160000,180.906000,"cuDeviceGetAttribute"
"API calls",0.028639,0.497611,886,0.561000,0.189000,14.383000,"cuCtxPopCurrent"
"API calls",0.028494,0.495100,400,1.237000,0.570000,23.325000,"cuTexObjectDestroy"
"API calls",0.019009,0.330290,61,5.414000,4.239000,10.991000,"cuInit"
"API calls",0.016751,0.291049,5,58.209000,28.600000,153.328000,"cuArrayDestroy"
"API calls",0.014359,0.249500,378,0.660000,0.355000,9.801000,"cuGetProcAddress"
"API calls",0.011711,0.203476,1,203.476000,203.476000,203.476000,"cuMemAllocPitch"
"API calls",0.009565,0.166203,3,55.401000,33.834000,73.918000,"cuDeviceGetName"
"API calls",0.006869,0.119351,122,0.978000,0.309000,5.819000,"cuCtxGetDevice"
"API calls",0.002230,0.038751,2,19.375000,10.080000,28.671000,"cuCtxSynchronize"
"API calls",0.001787,0.031056,5,6.211000,2.853000,18.102000,"cuSurfObjectCreate"
"API calls",0.001443,0.025078,59,0.425000,0.317000,1.854000,"cuCtxGetApiVersion"
"API calls",0.001251,0.021730,33,0.658000,0.266000,10.788000,"cuModuleGetFunction"
"API calls",0.001171,0.020343,1,20.343000,20.343000,20.343000,"cuStreamDestroy"
"API calls",0.000857,0.014898,61,0.244000,0.160000,1.209000,"cuDriverGetVersion"
"API calls",0.000728,0.012656,1,12.656000,12.656000,12.656000,"cuDeviceGetPCIBusId"
"API calls",0.000558,0.009700,16,0.606000,0.245000,2.499000,"cuEventDestroy"
"API calls",0.000456,0.007923,16,0.495000,0.288000,2.977000,"cuEventCreate"
"API calls",0.000448,0.007792,6,1.298000,0.220000,4.330000,"cuDeviceGetCount"
"API calls",0.000335,0.005822,5,1.164000,0.579000,2.678000,"cuSurfObjectDestroy"
"API calls",0.000188,0.003264,6,0.544000,0.162000,1.368000,"cuDeviceGet"
"API calls",0.000075,0.001303,1,1.303000,1.303000,1.303000,"cuDeviceTotalMem"
"API calls",0.000047,0.000811,1,0.811000,0.811000,0.811000,"cuModuleGetLoadingMode"
"API calls",0.000045,0.000783,1,0.783000,0.783000,0.783000,"cuDeviceGetUuid"
